Rank	GO.ID	Term	Pvalue	nAnnotated	nSignificant	Annotated	Significant
1	GO:0003735	structural constituent of ribosome	1e-30	153	55	DAP3, LINC01004, MRPL1, MRPL10, MRPL11, MRPL12, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL4, MRPL41, MRPL42, MRPL43, MRPL46, MRPL47, MRPL49, MRPL51, MRPL52, MRPL54, MRPL55, MRPL9, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS21, MRPS22, MRPS23, MRPS24, MRPS25, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS36, MRPS5, MRPS6, MRPS7, MRPS9, RPL10, RPL10A, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36A, RPL36AL, RPL37, RPL37A, RPL38, RPL39, RPL39L, RPL4, RPL41, RPL5, RPL6, RPL7, RPL7A, RPL7L1, RPL8, RPL9, RPLP0, RPLP1, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS17, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS4Y2, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RSL24D1, SRBD1, UBA52	RPL10A, RPL11, RPL13, RPL13A, RPL14, RPL17, RPL18, RPL19, RPL21, RPL22, RPL23A, RPL24, RPL27A, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36A, RPL37, RPL38, RPL4, RPL5, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS20, RPS21, RPS23, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS8, RPSA
2	GO:0003723	RNA binding	6.5e-17	1416	64	AARS2, AATF, ABCF1, ABT1, ABTB1, ACAA2, ACIN1, ACO1, ACTN1, ACTN4, ADAR, ADARB1, ADAT1, ADD1, ADK, AGFG1, AGO1, AGO2, AGO3, AGO4, AHCYL1, AHNAK, AIMP1, AKAP1, AKAP17A, AKAP8, AKAP8L, ALDH18A1, ALDH6A1, ALDOA, ALG13, ALKBH1, ALKBH5, ALKBH8, ALYREF, ANG, ANGEL2, ANKHD1, ANKRD17, ANP32A, ANXA1, ANXA11, ANXA2, ANXA7, APEH, APEX1, API5, APOBEC3A, APOBEC3B, APOBEC3C, APOBEC3D, APOBEC3F, APOBEC3G, APOBEC3H, APTX, AQR, ARC, ARCN1, ARF1, ARHGEF1, ARID5A, ARL6IP4, ASCC1, ASCC3, ATXN1, ATXN1L, ATXN2, ATXN2L, AUH, BAG4, BARD1, BAZ2A, BCCIP, BCLAF1, BMS1, BOP1, BRCA1, BRIX1, BST2, BTF3, BUD13, BYSL, BZW1, C11orf68, C12orf65, C14orf93, C1D, C1orf131, C1orf35, C1orf52, C1QBP, C7orf50, CACTIN, CALR, CANX, CAPRIN1, CAPRIN2, CARHSP1, CASC3, CAST, CBX4, CBX6, CBX8, CCAR1, CCAR2, CCDC124, CCDC137, CCDC47, CCDC59, CCDC86, CCDC9, CCNT1, CCNT2, CCT3, CCT4, CCT5, CCT6A, CDC40, CDC42EP4, CDC5L, CDK11B, CDK13, CDK9, CDKN2A, CDKN2AIP, CEBPZ, CELF1, CELF2, CHCHD1, CHD2, CHD3, CHERP, CHTOP, CIRBP, CISD2, CKAP4, CLK3, CLNS1A, CLTC, CLUH, CMSS1, CNBP, CNOT1, CNOT4, CNOT6, CNOT7, CNOT8, CNP, COA6, COIL, COPA, COPS5, CORO1A, CPEB2, CPEB3, CPEB4, CPNE3, CPSF1, CPSF2, CPSF3, CPSF4, CPSF6, CPSF7, CRKL, CRNKL1, CRYZ, CS, CSDE1, CSNK1E, CSRP1, CSTB, CSTF1, CSTF2, CSTF2T, CSTF3, CTIF, CTNNA1, CTU1, CTU2, CWC15, CWC22, CYFIP1, DAP3, DARS2, DAZAP1, DBR1, DCAF13, DCP1A, DCP1B, DCP2, DCPS, DDX1, DDX10, DDX11, DDX17, DDX18, DDX19A, DDX19B, DDX20, DDX21, DDX23, DDX24, DDX27, DDX28, DDX31, DDX39A, DDX39B, DDX3X, DDX3Y, DDX41, DDX42, DDX43, DDX46, DDX47, DDX49, DDX5, DDX50, DDX51, DDX52, DDX54, DDX55, DDX56, DDX58, DDX59, DDX6, DDX60, DDX60L, DEK, DENR, DGCR8, DHFR, DHX15, DHX16, DHX29, DHX30, DHX32, DHX33, DHX34, DHX35, DHX36, DHX37, DHX38, DHX40, DHX57, DHX58, DHX8, DHX9, DIAPH1, DICER1, DIDO1, DIMT1, DIS3, DIS3L, DIS3L2, DKC1, DNAJC17, DNAJC2, DNAJC21, DND1, DNMT1, DNTTIP2, DRG2, DROSHA, DTD1, DTD2, DUS2, DUS3L, DUSP11, DUSP14, DUT, DXO, DYNC1H1, DYNC1LI1, DZIP3, EARS2, EBNA1BP2, EDC3, EDF1, EEF1A1, EEF1B2, EEF1D, EEF1G, EEF2, EEF2K, EEFSEC, EFTUD2, EIF1, EIF1AD, EIF1AX, EIF1AY, EIF1B, EIF2A, EIF2AK2, EIF2AK4, EIF2B1, EIF2B2, EIF2B3, EIF2B4, EIF2B5, EIF2D, EIF2S1, EIF2S2, EIF2S3, EIF3A, EIF3B, EIF3C, EIF3D, EIF3E, EIF3F, EIF3G, EIF3H, EIF3I, EIF3J, EIF3K, EIF3L, EIF3M, EIF4A1, EIF4A2, EIF4A3, EIF4B, EIF4E, EIF4E2, EIF4E3, EIF4ENIF1, EIF4G1, EIF4G2, EIF4G3, EIF4H, EIF5, EIF5A, EIF5A2, EIF5AL1, EIF5B, EIF6, ELAC2, ELAVL1, ELP3, EMG1, ENDOV, ENO1, EP300, EPPK1, ERAL1, ERH, ERI1, ERI3, ESF1, ETF1, EWSR1, EXOSC1, EXOSC10, EXOSC2, EXOSC3, EXOSC4, EXOSC5, EXOSC6, EXOSC7, EXOSC8, EXOSC9, EZH2, EZR, FAM120A, FAM120C, FAM133B, FAM172A, FAM32A, FAM50A, FAM98A, FAM98B, FARS2, FARSA, FARSB, FASN, FASTK, FASTKD1, FASTKD2, FASTKD3, FASTKD5, FAU, FBL, FBRSL1, FCF1, FDPS, FIP1L1, FKBP3, FKBP4, FLNA, FLNB, FLYWCH2, FMR1, FNDC3A, FNDC3B, FRG1, FSCN1, FTSJ3, FUBP1, FUBP3, FUS, FXR1, FXR2, FYTTD1, G3BP1, G3BP2, GANAB, GAR1, GDI2, GEMIN5, GFM1, GIGYF2, GLRX3, GNL2, GNL3, GNL3L, GOLGB1, GOT2, GPATCH1, GPATCH4, GPATCH8, GPKOW, GRB2, GRN, GRSF1, GRWD1, GSPT1, GSPT2, GTF2E2, GTF2F1, GTF3A, GTPBP1, GTPBP10, GTPBP2, GTPBP4, HABP4, HADHB, HARS2, HBP1, HBS1L, HDAC2, HDGF, HDLBP, HEATR1, HEATR6, HELB, HELZ, HELZ2, HENMT1, HERC5, HEXIM1, HEXIM2, HLA-A, HLTF, HMGB1, HMGB2, HMGB3, HMGN2, HMGN5, HNRNPA0, HNRNPA1, HNRNPA1L2, HNRNPA2B1, HNRNPA3, HNRNPAB, HNRNPC, HNRNPD, HNRNPDL, HNRNPF, HNRNPH1, HNRNPH2, HNRNPH3, HNRNPK, HNRNPL, HNRNPLL, HNRNPM, HNRNPR, HNRNPU, HNRNPUL1, HNRNPUL2, HSD17B10, HSP90AA1, HSP90AB1, HSP90B1, HSPA1A, HSPA1B, HSPA8, HSPA9, HSPB1, HSPD1, HSPE1, HTATSF1, HUWE1, IARS2, IBA57, IFI16, IFIH1, IFIT1, IFIT2, IFIT3, IFIT5, IGF2BP2, IGF2BP3, IGHMBP2, ILF2, ILF3, IMMT, IMP3, IMP4, IMPDH1, IMPDH2, IPO5, IREB2, ISG20, ISG20L2, ISY1, JAKMIP1, JMJD6, JUN, KCTD12, KDM1A, KDM2B, KHDC1, KHDRBS1, KHDRBS2, KHNYN, KHSRP, KIF1C, KIN, KMT2C, KNOP1, KPNA2, KPNB1, KRI1, KRR1, KRT18, KTN1, L1TD1, LACTB2, LARP1, LARP1B, LARP4, LARP4B, LARP7, LAS1L, LBR, LGALS1, LGALS3, LINC00324, LLPH, LONP1, LRP1, LRPPRC, LRRC47, LRRC59, LRRFIP1, LSM1, LSM10, LSM11, LSM14A, LSM14B, LSM2, LSM3, LSM4, LSM5, LSM6, LSM7, LTA4H, LUC7L, LUC7L3, LYAR, MACF1, MAGOH, MAGOHB, MAK16, MANF, MAP4, MAPRE1, MARK2, MATR3, MAZ, MBD2, MBNL1, MBNL2, MBNL3, MCAT, MCRS1, MCTS1, MDH2, MDM2, MECP2, MEPCE, METAP2, METTL1, METTL14, METTL16, METTL3, MEX3B, MEX3C, MFAP1, MIF4GD, MIR142, MIR146A, MIR24-2, MIR29A, MKI67, MKRN1, MKRN2, MORC3, MOV10, MOV10L1, MPHOSPH10, MPHOSPH6, MRM1, MRPL1, MRPL10, MRPL11, MRPL12, MRPL13, MRPL14, MRPL15, MRPL16, MRPL18, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL32, MRPL37, MRPL39, MRPL4, MRPL40, MRPL41, MRPL42, MRPL43, MRPL44, MRPL45, MRPL54, MRPL9, MRPS11, MRPS12, MRPS14, MRPS15, MRPS18A, MRPS18C, MRPS21, MRPS23, MRPS24, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, MRTO4, MSI2, MSN, MTDH, MTHFSD, MTIF2, MTIF3, MTO1, MTPAP, MTRF1, MTRF1L, MYBBP1A, MYEF2, MYH10, MYH9, MYO18A, MYO5A, NAA15, NABP1, NAF1, NAP1L1, NAP1L4, NAT10, NBPF10, NCBP1, NCBP2, NCL, NCOA5, NDUFV3, NEAT1, NELFB, NELFCD, NELFE, NEMF, NFX1, NGDN, NGRN, NHP2, NIFK, NIP7, NKAP, NKRF, NMD3, NME1, NOA1, NOC2L, NOC3L, NOC4L, NOL10, NOL11, NOL12, NOL3, NOL6, NOL7, NOL8, NOL9, NOLC1, NOM1, NONO, NOP10, NOP14, NOP16, NOP2, NOP56, NOP58, NOP9, NOSIP, NPM1, NPM2, NPM3, NPPA-AS1, NQO1, NR3C1, NSA2, NSRP1, NSUN2, NSUN3, NSUN4, NSUN5, NSUN6, NSUN7, NTPCR, NUCKS1, NUDT1, NUDT16, NUDT16L1, NUDT21, NUDT4, NUDT5, NUDT7, NUFIP1, NUFIP2, NUP98, NUSAP1, NVL, NXF1, OAS1, OAS2, OAS3, OASL, OOEP, OTUD4, P4HB, PA2G4, PABPC1, PABPC1L, PABPC3, PABPC4, PABPN1, PAIP1, PAIP2, PAN3, PAPOLA, PAPOLG, PARK7, PARN, PARP1, PARP12, PATL1, PATL2, PCBP1, PCBP2, PCBP3, PCBP4, PCF11, PCID2, PDAP1, PDCD11, PDCD4, PDIA3, PDIA4, PEBP1, PEF1, PELP1, PES1, PFN1, PHAX, PHF5A, PHF6, PIN4, PINX1, PIWIL1, PIWIL4, PKM, PKN2, PLEC, PNISR, PNN, PNO1, PNPT1, POLDIP3, POLR2A, POLR2B, POLR2D, POLR2G, POLRMT, POP1, POP4, POP5, POP7, PPAN, PPARGC1B, PPHLN1, PPIA, PPIB, PPIE, PPIG, PPIL4, PPP1CC, PPP1R10, PPP1R8, PPP5C, PPRC1, PRDX1, PRKDC, PRKRA, PRKRIP1, PRMT1, PRPF3, PRPF31, PRPF38A, PRPF38B, PRPF4, PRPF40A, PRPF40B, PRPF4B, PRPF6, PRPF8, PRR3, PRRC2A, PRRC2B, PRRC2C, PSIP1, PSMA1, PSMA6, PSMC1, PSMD4, PSPC1, PSTK, PTBP1, PTBP2, PTBP3, PTCD1, PTCD2, PTCD3, PTPN1, PTRH1, PUF60, PUM1, PUM2, PURA, PURB, PUS1, PUS10, PUS3, PUS7, PUS7L, PUSL1, PWP2, QKI, R3HDM1, R3HDM2, RAD51AP1, RAE1, RALY, RAN, RANBP2, RANGAP1, RARA, RARS2, RAVER1, RAVER2, RBBP6, RBBP7, RBFOX2, RBM10, RBM11, RBM12, RBM12B, RBM14, RBM15, RBM15B, RBM17, RBM18, RBM19, RBM22, RBM23, RBM25, RBM26, RBM27, RBM28, RBM3, RBM33, RBM34, RBM38, RBM39, RBM4, RBM41, RBM42, RBM43, RBM45, RBM47, RBM48, RBM4B, RBM5, RBM6, RBM7, RBM8A, RBMS1, RBMS2, RBMX, RBMX2, RBMXL1, RC3H1, RC3H2, RCAN3, RCC2, RDX, REPIN1, REXO4, RFTN1, RNASEH1, RNASEH2A, RNASEL, RNASET2, RNF20, RNF40, RNMT, RNPC3, RNPS1, RNU11, RNU12, ROCK2, RP9, RPF1, RPF2, RPGR, RPL10, RPL10A, RPL11, RPL12, RPL13, RPL13A, RPL14, RPL15, RPL17, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL28, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36A, RPL37, RPL37A, RPL38, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL7A, RPL7L1, RPL8, RPL9, RPLP0, RPN1, RPP14, RPP21, RPP25, RPP25L, RPP30, RPP38, RPP40, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS17, RPS18, RPS19, RPS19BP1, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS27L, RPS28, RPS3, RPS3A, RPS4X, RPS4Y1, RPS4Y2, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, RPUSD1, RPUSD2, RPUSD3, RPUSD4, RRBP1, RRP1, RRP12, RRP1B, RRP36, RRP7A, RRP8, RRP9, RRS1, RSL1D1, RSL24D1, RSRC2, RTCA, RTCB, RTF1, RTN4, S100A4, SAFB, SAFB2, SAMD4A, SAMD4B, SAMHD1, SAMSN1, SAP18, SARNP, SARS2, SART1, SART3, SBDS, SCAF1, SCAF11, SCAF4, SCAF8, SEC23IP, SEC61B, SEC63, SECISBP2, SECISBP2L, SEPSECS, SERBP1, SERPINH1, SETD1A, SETD1B, SETX, SF1, SF3A1, SF3A2, SF3A3, SF3B1, SF3B2, SF3B4, SF3B5, SFPQ, SFSWAP, SHMT1, SHMT2, SIDT1, SIDT2, SIN3A, SKIV2L, SLBP, SLC16A3, SLC25A11, SLC25A5, SLC3A2, SLC4A1AP, SLFN11, SLFN13, SLIRP, SLTM, SLU7, SMAD1, SMARCA4, SMARCE1, SMC1A, SMG1, SMG5, SMG6, SMG7, SMN1, SMN2, SMNDC1, SND1, SNIP1, SNRNP200, SNRNP35, SNRNP40, SNRNP70, SNRPA, SNRPA1, SNRPB, SNRPB2, SNRPC, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, SNRPN, SNTB2, SNUPN, SNW1, SON, SOX4, SPATS2, SPATS2L, SPEN, SPI1, SPTBN1, SRA1, SRBD1, SREK1, SRF, SRFBP1, SRP14, SRP19, SRP54, SRP68, SRP72, SRP9, SRPK1, SRPK2, SRRM1, SRRM2, SRRT, SRSF1, SRSF10, SRSF11, SRSF2, SRSF3, SRSF4, SRSF5, SRSF6, SRSF7, SRSF9, SSB, SSBP1, SSRP1, STAT3, STAU1, STAU2, STIP1, STRAP, STRBP, STXBP1, SUB1, SUCLG1, SUGP1, SUGP2, SUMO1, SUMO2, SUPT16H, SUPT5H, SUPT6H, SUPV3L1, SURF6, SUZ12, SYF2, SYNCRIP, SYNE1, SYNJ1, SYNJ2, TACO1, TAF15, TARBP1, TARBP2, TARDBP, TBCA, TBL2, TBL3, TBRG4, TCERG1, TCF20, TCOF1, TCP1, TDRD3, TDRD7, TDRD9, TDRKH, TEFM, TEP1, TES, TFAM, TFB1M, TFB2M, TFRC, THG1L, THOC1, THOC2, THOC3, THOC5, THOC6, THOC7, THRAP3, THUMPD1, THUMPD2, THUMPD3, TIA1, TIAL1, TIMM50, TLR3, TLR7, TLR8, TLR9, TMSB4X, TNPO1, TNRC6A, TNRC6B, TNRC6C, TNS1, TOE1, TOP1, TOP2A, TOP3B, TP53, TPD52L2, TPR, TPT1, TRA2A, TRA2B, TRAP1, TRDMT1, TRIM21, TRIM25, TRIM28, TRIM32, TRIM56, TRIP6, TRMT1, TRMT10A, TRMT10B, TRMT10C, TRMT11, TRMT1L, TRMT2A, TRMT6, TRMU, TRNAU1AP, TRNT1, TRUB1, TRUB2, TSFM, TSN, TSNAX, TSR1, TST, TUBA1B, TUBB4B, TUFM, TUT1, TWF2, TXN, TYMS, TYW5, U2AF1, U2AF1L4, U2AF2, U2SURP, UBA1, UBAP2, UBAP2L, UBC, UBE2I, UBE2L3, UBE2N, UBE2O, UBFD1, UBR5, UBTF, UCHL5, UHMK1, UNC50, UNK, UPF1, UPF2, UPF3A, UPF3B, URB1, USO1, USP10, USP36, UTP14A, UTP15, UTP18, UTP20, UTP23, UTP3, UTP6, VCP, VIM, VSIG8, WBP11, WBP4, WDR3, WDR33, WDR36, WDR43, WDR46, WDR6, WDR75, WRAP53, XPO1, XPO5, XPOT, XRCC5, XRCC6, XRN1, XRN2, YARS2, YBX1, YBX3, YLPM1, YRDC, YTHDC1, YTHDC2, YTHDF1, YTHDF2, YTHDF3, YWHAE, YWHAG, YWHAZ, YY1, ZBP1, ZC3H10, ZC3H11A, ZC3H12A, ZC3H12D, ZC3H13, ZC3H14, ZC3H15, ZC3H18, ZC3H4, ZC3H7A, ZC3H7B, ZC3H8, ZC3HAV1, ZCCHC17, ZCCHC24, ZCCHC3, ZCCHC7, ZCCHC8, ZCCHC9, ZCRB1, ZFP36, ZFP36L1, ZFP36L2, ZFR, ZFR2, ZMAT3, ZNF106, ZNF207, ZNF239, ZNF326, ZNF346, ZNF385A, ZNF579, ZNF598, ZNF622, ZNF638, ZNF74, ZNF768, ZNFX1, ZRANB2, ZRSR2, ZYX	EEF1A1, EEF1B2, EEF1G, EIF4A2, NOSIP, NPM1, PEBP1, PSIP1, RPL10A, RPL11, RPL13, RPL13A, RPL14, RPL17, RPL18, RPL19, RPL21, RPL22, RPL23A, RPL24, RPL27A, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36, RPL36A, RPL37, RPL38, RPL4, RPL5, RPL7, RPL9, RPLP0, RPS10, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16, RPS18, RPS20, RPS21, RPS23, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS8, RPSA, RSL1D1, TPT1, ZFP36L2
3	GO:0019843	rRNA binding	1.5e-09	57	14	ANG, CIRBP, DDX21, DDX28, EEF2, EMG1, ERAL1, ERI1, FASTKD2, FASTKD5, GTF3A, IMP3, KDM2B, MDM2, MRPL11, MRPL16, MRPL18, MRPL20, MRPS11, MRPS18A, MRPS18C, MRPS27, MRPS6, MRPS7, NGRN, NOL12, NSUN4, PPAN, PTCD3, RNASEL, RPF1, RPF2, RPL11, RPL12, RPL23, RPL23A, RPL3, RPL37, RPL5, RPL8, RPL9, RPLP0, RPS11, RPS13, RPS14, RPS18, RPS3, RPS4X, RPS4Y1, RPS4Y2, RPS5, RPS9, RRS1, SBDS, TACO1, TST, UTP23	RPL11, RPL23A, RPL3, RPL37, RPL5, RPL9, RPLP0, RPS13, RPS14, RPS18, RPS3, RPS4X, RPS4Y1, RPS5
4	GO:0048027	mRNA 5'-UTR binding	3.4e-06	24	5	CCT5, DDX3X, DHX36, FMR1, GNL3, IGF2BP2, IGF2BP3, LARP1, MRPS11, MYH10, NCL, RARA, RPL26, RPL41, RPL5, RPS13, RPS14, RPS3A, RPS7, RSL1D1, SHMT1, SHMT2, SYNCRIP, UTP23	RPL5, RPS13, RPS14, RPS3A, RSL1D1
5	GO:0008097	5S rRNA binding	0.00011	10	3	EEF2, GTF3A, MDM2, MRPL18, RPF2, RPL11, RPL3, RPL5, RRS1, TST	RPL11, RPL3, RPL5
6	GO:0070181	small ribosomal subunit rRNA binding	0.00011	10	3	CIRBP, MRPS11, MRPS18A, MRPS18C, MRPS6, NSUN4, RPS13, RPS14, RPS3, UTP23	RPS13, RPS14, RPS3
7	GO:0003746	translation elongation factor activity	5e-04	16	3	ABTB1, EEF1A1, EEF1B2, EEF1D, EEF1G, EEF2, EEFSEC, EIF5A, EIF5A2, EIF5AL1, GFM1, GTPBP1, GTPBP2, HBS1L, TSFM, TUFM	EEF1A1, EEF1B2, EEF1G
8	GO:0003729	mRNA binding	0.00056	235	13	ACO1, ADARB1, AGO2, ANGEL2, AQR, ARC, AUH, C1QBP, CALR, CARHSP1, CCT5, CELF1, CELF2, CIRBP, CLUH, CNBP, COPA, CPEB2, CPEB3, CPEB4, CPSF1, CPSF6, CRYZ, CSTF2, CSTF2T, CSTF3, DAZAP1, DCP1A, DCP1B, DDX3X, DDX5, DDX6, DENR, DHFR, DHX33, DHX36, DHX9, DND1, DXO, EDC3, EEFSEC, EIF2A, EIF2S2, EIF3A, EIF3D, EIF4A1, EIF4A3, EIF4ENIF1, EIF4G1, EIF4G2, EIF4G3, ELAVL1, ETF1, EXOSC4, EXOSC8, EXOSC9, FMR1, FUBP1, FUBP3, FUS, FXR1, FXR2, FYTTD1, G3BP1, G3BP2, GEMIN5, GNL3, GRSF1, HDLBP, HNRNPA0, HNRNPA2B1, HNRNPAB, HNRNPC, HNRNPD, HNRNPK, HNRNPL, HNRNPLL, HNRNPM, HNRNPR, HNRNPU, IGF2BP2, IGF2BP3, ILF3, IREB2, KHDRBS1, KHDRBS2, KHNYN, KHSRP, LARP1, LINC00324, LSM1, LSM14A, LSM14B, LUC7L, LUC7L3, MATR3, MBD2, MECP2, METTL14, METTL3, MIR142, MIR146A, MIR24-2, MIR29A, MRPL13, MRPS11, MRPS7, MYEF2, MYH10, NCBP1, NCBP2, NCL, NPPA-AS1, NSRP1, NUDT16, NUDT21, NUP98, NXF1, PABPC1, PABPC1L, PABPC3, PABPC4, PAIP2, PARK7, PARN, PCBP1, PCBP2, PCBP3, PCBP4, PCF11, PIWIL1, PKM, PPIE, PPP1R8, PTBP1, PTBP2, PTBP3, PUM1, PUM2, PURB, QKI, RARA, RBFOX2, RBM14, RBM15, RBM25, RBM26, RBM27, RBM38, RBM4, RBM47, RBM4B, RBM5, RBM8A, RBMS1, RBMS2, RBMX, RC3H1, RC3H2, RNF20, RNF40, RNPS1, RPL13A, RPL26, RPL30, RPL35, RPL41, RPL5, RPL7, RPS13, RPS14, RPS2, RPS26, RPS3, RPS3A, RPS5, RPS7, RSL1D1, SAMD4A, SAMD4B, SCAF8, SECISBP2, SECISBP2L, SERBP1, SF1, SF3B1, SHMT1, SHMT2, SLBP, SLC4A1AP, SNIP1, SNRNP35, SNRNP70, SNRPC, SRBD1, SRRM2, SRSF1, SRSF3, SRSF4, SRSF5, SRSF6, SSB, SUPT5H, SYNCRIP, TACO1, TAF15, TARDBP, TDRD7, THOC2, THOC5, TIA1, TIAL1, TP53, TPR, TRA2B, TSN, TUT1, TYMS, UNK, UPF3B, UTP23, XPO5, YBX1, YBX3, YTHDC1, YTHDF1, YTHDF2, YTHDF3, ZC3H11A, ZC3H12A, ZC3H12D, ZFP36, ZFP36L1, ZFP36L2, ZNF385A	RPL13A, RPL30, RPL35, RPL5, RPL7, RPS13, RPS14, RPS26, RPS3, RPS3A, RPS5, RSL1D1, ZFP36L2
9	GO:0030159	signaling receptor complex adaptor activity	0.00096	33	4	BLNK, CD3E, CD3G, DEDD2, DLG5, DOK2, FRS2, G3BP2, GAB2, HOMER2, IRS1, LAT, LDLRAP1, LRRK2, MAPK8IP3, MMS19, NCK1, NCK2, NUP62, PIK3R1, PTPN11, RGS14, SAV1, SH2B1, SH2B2, SH2B3, SHC1, SORBS1, SPAG9, SPATA2, STAP1, TRADD, TRAT1	CD3E, CD3G, LAT, TRAT1
